0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,3\-1\4\-1,3\-1\1\0,3\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,7\-1\0\-1,7\-1\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1
0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\230\0\-1,3\-1\1\-1,3\-1\1\-1,2\203\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,7\-1\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1
0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,7\-1\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\230\0\-1,3\18\1\-1,3\19\1\-1,2\203\0\-1,0\-1\0\-1,0\-1\0\-1,7\-1\0\-1,7\-1\0\-1,0\116\0\-1,0\170\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1
0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\119\0\-1,0\117\0\-1,7\-1\0\-1,0\230\0\-1,0\230\0\-1,0\230\0\-1,3\43\1\-1,3\44\1\-1,2\203\0\-1,0\-1\0\-1,0\-1\0\-1,7\-1\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1
0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,7\-1\0\-1,7\-1\0\-1,7\-1\0\-1,7\-1\0\-1,7\43\1\-1,7\44\1\-1,7\-1\0\-1,7\-1\0\-1,7\-1\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1
0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,7\-1\0\-1,27\-1\0\-1,52\-1\0\-1,52\68\1\-1,52\69\1\-1,52\-1\0\-1,27\-1\0\-1,27\-1\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1
0\175\4\1,3\-1\4\-1,3\-1\4\-1,3\-1\4\-1,3\-1\4\-1,3\-1\4\-1,3\-1\2\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,7\-1\0\-1,27\-1\0\-1,52\-1\0\-1,2\-1\1\-1,52\-1\1\-1,52\-1\0\-1,27\-1\0\-1,27\94\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1
0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,3\-1\2\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,7\-1\0\-1,27\-1\0\-1,52\-1\0\-1,52\-1\1\-1,52\-1\1\-1,52\-1\0\-1,27\-1\0\-1,27\-1\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1
0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,3\-1\2\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,7\-1\0\-1,27\-1\0\-1,52\-1\0\-1,52\18\1\-1,52\19\1\-1,52\-1\0\-1,27\-1\0\-1,27\94\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1
0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,3\-1\2\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\202\0\-1,7\-1\0\-1,7\-1\0\-1,7\-1\0\-1,7\43\1\-1,7\44\1\-1,7\-1\0\-1,7\-1\0\-1,7\-1\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1
0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,3\-1\2\-1,0\-1\0\-1,0\-1\0\-1,0\228\0\-1,7\-1\0\-1,0\206\0\-1,0\206\0\-1,0\206\0\-1,0\68\1\-1,0\69\1\-1,0\206\0\-1,0\-1\0\-1,0\-1\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1
0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,3\-1\4\-1,3\-1\4\-1,3\32\4\-1,7\57\4\-1,7\57\4\-1,3\32\4\-1,3\-1\4\-1,3\-1\4\-1,3\-1\1\-1,3\-1\1\-1,0\206\0\-1,0\-1\0\-1,0\-1\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1
0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\206\0\-1,7\-1\0\-1,7\277\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1
0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\277\0\-1,0\-1\0\-1,26\206\0\-1,7\-1\0\-1,7\-1\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1
1\-1\0\-1,1\-1\0\-1,1\-1\0\-1,1\-1\0\-1,1\-1\0\-1,1\-1\0\-1,7\-1\0\-1,7\-1\0\-1,7\-1\0\-1,7\-1\0\-1,7\-1\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,7\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1
